Gene,WT_Log,WT_DS,WT_Q,Rpd3_Log,Rpd3_DS,Rpd3_Q
AAC1,3.935,6.858,4.319,4.602,5.356,6.598
AAC3,3.627,-1.482,-4.545,5.756,2.399,2.497
AAD10,4.167,5.653,4.252,4.325,5.337,4.535
AAD14,3.928,3.64,-0.293,3.266,3.017,2.976
AAD15,2.285,2.413,-1.985,1.415,1.012,-0.369
AAD16,4.711,4.144,-0.359,5.884,4.693,3.124
AAD3,4.855,4.473,0.391,3.816,3.181,2.037
AAD4,3.323,3.578,-1.305,3.804,4.676,2.368
AAD6,4.648,3.995,-0.833,5.901,4.575,3.072
AAH1,7.906,2.435,-1.892,7.887,5.233,5.372
AAP1,7.093,4.643,-0.852,7.547,5.983,4.787
AAR2,3.428,2.857,-1.705,4.043,3.695,2.922
AAT1,7.035,3.784,0.004,6.656,5.025,5.609
AAT2,8.864,9.526,3.465,9.442,9.829,6.24
ABD1,5.645,4.497,-0.079,5.868,5.225,4.366
ABF1,4.548,4.347,-0.895,5.226,4.179,3.211
ABF2,7.31,7.185,3.291,7.881,7.506,7.317
ABM1,2.854,2.816,0.998,2.542,2.608,3.327
ABP1,6.148,5.766,-3.245,7.088,6.412,3.78
ABP140,6.643,4.244,-0.152,6.567,5.293,4.563
ABZ1,5.551,4.749,-0.704,5.829,5.656,4.003
ABZ2,5.534,4.387,-1.157,6.119,5.212,4.364
ACA1,5.02,3.594,-0.938,4.517,3.975,4.197
ACB1,9.957,7.674,1.423,10.204,8.255,6.659
ACC1,9.294,7.552,3.863,9.524,9.044,5.903
ACE2,3.93,2.782,-0.531,4.467,4.011,2.953
ACF2,5.056,4.029,-1.174,5.469,4.919,3.8
ACF4,4.04,3.417,-2.707,4.152,3.773,3.329
ACH1,5.238,10.437,1.755,6.886,11.325,6.529
ACK1,4.783,3.813,1.53,4.966,4.357,3.95
ACM1,3.994,2.552,-3.066,5.593,4.63,3.053
ACN9,5.246,6.41,1.007,5.788,6.825,3.554
ACO1,8.29,12.119,6.284,9.585,12.21,6.66
ACO2,6.978,4.593,-1.428,7.079,5.987,3.702
