gse_id,gsm_id,sample_title,condition_text,mapping_source,sample_title_local,condition_local,sample_title_geo,condition_geo
GSE110818,GSM3017184,GAL-REG (WT)-1,wt,GEO_FETCH,,,GAL-REG (WT)-1,wt
GSE110818,GSM3017185,GAL-REG (WT)-2,wt,GEO_FETCH,,,GAL-REG (WT)-2,wt
GSE110818,GSM3017186,GAL-REG (WT)-3,wt,GEO_FETCH,,,GAL-REG (WT)-3,wt
GSE110818,GSM3017187,GAL-CONS-1,,GEO_FETCH,,,GAL-CONS-1,
GSE110818,GSM3017188,GAL-CONS-2,,GEO_FETCH,,,GAL-CONS-2,
GSE110818,GSM3017189,GAL-CONS-3,,GEO_FETCH,,,GAL-CONS-3,
GSE110818,GSM3017190,XYL-REG-1,,GEO_FETCH,,,XYL-REG-1,
GSE110818,GSM3017191,XYL-REG-2,,GEO_FETCH,,,XYL-REG-2,
GSE110818,GSM3017192,XYL-REG-3,,GEO_FETCH,,,XYL-REG-3,
GSE110818,GSM3017193,XYL-CONS-1,,GEO_FETCH,,,XYL-CONS-1,
GSE110818,GSM3017194,XYL-CONS-2,,GEO_FETCH,,,XYL-CONS-2,
GSE110818,GSM3017195,XYL-CONS-3,,GEO_FETCH,,,XYL-CONS-3,
GSE237235,GSM7597583,AR13_1,36h | Pcf11-AARR mutating,LOCAL_META,AR13_1,36h | Pcf11-AARR mutating,AR13_1,
GSE237235,GSM7597584,AR13_2,36h | Pcf11-AARR mutating,LOCAL_META,AR13_2,36h | Pcf11-AARR mutating,AR13_2,
GSE237235,GSM7597585,AR13_3,36h | Pcf11-AARR mutating,LOCAL_META,AR13_3,36h | Pcf11-AARR mutating,AR13_3,
GSE237235,GSM7597586,L17_1,36h | deltaPcf11 deleting,LOCAL_META,L17_1,36h | deltaPcf11 deleting,L17_1,
GSE237235,GSM7597587,L17_2,36h | deltaPcf11 deleting,LOCAL_META,L17_2,36h | deltaPcf11 deleting,L17_2,
GSE237235,GSM7597588,L17_3,36h | deltaPcf11 deleting,LOCAL_META,L17_3,36h | deltaPcf11 deleting,L17_3,
GSE237235,GSM7597589,Pcf11_IP_1,"36h | IP1,replication1",LOCAL_META,Pcf11_IP_1,"36h | IP1,replication1",Pcf11_IP_1,
